Название;Автор;Цена в бел.руб.;Ссылка
"""Капитал"" Карла Маркса";Шипсайд С.;3.57;https://magazin.belkniga.by/catalog/biznes-literatura/kapital-karla-marksa/
10 глупых вопросов профессионалам, которые вы боялись задать;;12.86;https://magazin.belkniga.by/catalog/biznes-literatura/zvezdayoutube-10-glupyh-voprosov-profess/
10 провалов, которые создают миллионера. Путь от $500 до $1000000;Карнаух Олег;15.91;https://magazin.belkniga.by/catalog/biznes-literatura/biznesnastavni-10-provalov-kotorye-sozd/
10 фантастических способов добиться успеха;Билл Ньюмен;3.64;https://magazin.belkniga.by/catalog/biznes-literatura/10_fantasticheskikh_sposobov_dobitsya_uspe/
100 подсказок менеджеру по продажам;Андрей Парабеллум;16.02;https://magazin.belkniga.by/catalog/biznes-literatura/100_podskazok_menedzheru_po_prodazham_3_e/
100 способов казаться умнее, чем на самом деле;Сара Купер;17.69;https://magazin.belkniga.by/catalog/biznes-literatura/100-sposobov-kazat-sya-umnee-chem-na-samo/
100 уроков лидерства Екатерины Великой для современного руководителя;Вячеслав Летуновский;23.25;https://magazin.belkniga.by/catalog/biznes-literatura/pobezhdbiz_100_urokov_liderstva_ekateriny/
100+ хаков для интернет-маркетологов. Как получить трафик и конвертировать его в продажи;Денис Савельев;33.46;https://magazin.belkniga.by/catalog/biznes-literatura/100-hakov-dlya-internet-marketologov-ka/
12 недель в году;Брайан Моран;34.47;https://magazin.belkniga.by/catalog/biznes-literatura/mif_lichnoe_razvitie_12_nedel_v_godu_k/
15 секретов управления временем. Как успешные люди успевают всё (м);Кевин Круз;12.83;https://magazin.belkniga.by/catalog/biznes-literatura/al-p-as-15-sekretov-upravleniya-vremenem/
150 маршрутов успеха;;36.15;https://magazin.belkniga.by/catalog/biznes-literatura/pro_vlast_150_marshrutov_uspekha/
16 законов успеха;Наполеон Хилл;14.02;https://magazin.belkniga.by/catalog/biznes-literatura/16_zakonov_uspekha_2_e_izd_/
20 самых эффективных инструментов онлайн-продаж;Солодар Мария Александровна;36.09;https://magazin.belkniga.by/catalog/biznes-literatura/solodarm-20-samyh-effektivnyh-instrument/
21 непременное качество лидера;Джон Максвелл;14.29;https://magazin.belkniga.by/catalog/biznes-literatura/21-nepremennoe-kachestvo-lidera/
24 закона обольщения;Грин Роберт;44.06;https://magazin.belkniga.by/catalog/biznes-literatura/24-zakona-obol-scheniya-strategiya-uspeha/
24 закона обольщения;Грин Роберт;26.07;https://magazin.belkniga.by/catalog/biznes-literatura/24-zakona-obol-scheniya/
24 закона обольщения для достижения власти;Роберт Грин;18.51;https://magazin.belkniga.by/catalog/biznes-literatura/24-zakona-obol-scheniya-dlya-dostizheniya-vlas_1/
45 татуировок личности. Правила моей жизни;Максим Батырев;36.35;https://magazin.belkniga.by/catalog/biznes-literatura/mif_lichnoe_ra_45_tatuirovok_lichnosti_p/
45 татуировок продавана. Правила для тех, кто продает и управляет продажами;Максим Батырев;38.17;https://magazin.belkniga.by/catalog/biznes-literatura/mif-biznes-45-tatuirovok-prodavana-pra/
50 советов по нематериальной мотивации;Светлана Иванова;25.14;https://magazin.belkniga.by/catalog/biznes-literatura/alp_50_sovetov_po_nematerialnoy_motiva/
52 понедельника. Как за год добиться любых целей (м);Вик Джонсон;11.29;https://magazin.belkniga.by/catalog/biznes-literatura/al-p-as-52-ponedel-nika-kak-za-god-dobit/
7 навыков высокоэффективных профессионалов сетевого маркетинга;Стивен Кови;24.86;https://magazin.belkniga.by/catalog/biznes-literatura/alp_7_navykov_vysokoeffektivnykh_profes/
7 простых стратегий богатства и счастья;Джим Рон;7.95;https://magazin.belkniga.by/catalog/biznes-literatura/7_prostykh_strategiy_bogatstva_i_schastya_2/
7 простых стратегий богатства и счастья;Джим Рон;9.57;https://magazin.belkniga.by/catalog/biznes-literatura/7_prostykh_strategiy_bogatstva_i_schastya/
8 уроков лидерства;Роберт Кийосаки;10.32;https://magazin.belkniga.by/catalog/biznes-literatura/8_urokov_liderstva/
8 финансовых заблуждений. Управление деньгами;Кийосаки Роберт;7.01;https://magazin.belkniga.by/catalog/biznes-literatura/8-finansovyh-zabluzhdeniy-upravlenie-de/
80/20 в продажах и маркетинге. Меньше работать, больше зарабатывать!;Маршалл П.;21.02;https://magazin.belkniga.by/catalog/biznes-literatura/80-20-v-prodazhah-i-marketinge-men-she-ra/
Agile для всех;Мэтт ЛеМей;24.35;https://magazin.belkniga.by/catalog/biznes-literatura/agile_dlya_vsekh/
Agile. Процессы, проекты, компании;Валерий Фунтов;17.51;https://magazin.belkniga.by/catalog/biznes-literatura/agile-processy-proekty-kompanii/
Airbnb. Как три простых парня создали новую модель бизнеса;Ли Галлахер;27.15;https://magazin.belkniga.by/catalog/biznes-literatura/topbusaw_airbnb_kak_tri_prostykh_parnya_s/
Alibaba и умный бизнес будущего;Мин Цзэн;38.84;https://magazin.belkniga.by/catalog/biznes-literatura/al-p-alibaba-i-umnyy-biznes-buduschego-kak/
Apple. Как заработать $1 триллион долларов;Каммингс Джуди Додж;10.52;https://magazin.belkniga.by/catalog/biznes-literatura/kniga-apple-kak-zarabotat-1-trillion/
